PurchaseProbability,SecondVisit,WebsiteVisits,Age
0.255,0,5,42
0.455,1,6,41
0.236,0,7,38
0.442,1,5,56
0.71,1,10,34
0.287,1,3,40
0.42,1,3,42
0.454,1,6,68
0.461,1,6,61
0.555,1,6,66
0.386,0,8,54
0.419,0,9,51
0.51,1,6,52
0.535,1,3,51
0.065,0,2,62
0.31,0,6,44
0.124,0,5,35
0.158,0,5,46
0.209,0,5,66
0.779,1,10,60
0.1,0,6,52
0.174,0,8,57
0.424,0,10,22
0.202,0,5,34
0.237,0,6,32
0.13,0,2,66
0.491,1,5,25
0.522,1,3,43
0.288,1,5,54
0.486,1,6,63
0.6,0,10,30
0.278,0,5,28
0.221,0,4,44
0.106,0,4,29
0.442,0,6,25
0.281,0,13,53
0.103,0,6,60
0.412,1,1,53
0.581,1,10,58
0.322,0,5,41
0.429,0,2,30
0.686,1,13,67
0.463,1,3,31
0.053,0,4,63
0.157,0,3,52
0.274,0,7,19
0.694,0,10,30
0.234,0,9,31
0.148,0,6,34
0.483,1,6,20
0.158,0,6,66
0.671,1,8,40
0.578,1,7,41
0.297,1,2,62
0.239,0,6,49
0.62,1,7,53
0.505,1,6,33
0.323,0,5,56
0.238,0,10,65
0.302,0,8,66
0.256,0,13,48
0.132,0,8,32
0.264,0,6,23
0.553,1,6,42
0.187,0,6,68
0.117,0,4,63
0.114,0,8,66
0.298,0,11,45
0.178,0,3,62
0.155,0,7,55
0.27,0,5,24
0.148,0,4,56
0.361,0,10,60
0.541,1,7,59
0.176,0,5,39
0.138,0,8,21
0.589,1,8,60
0.554,1,7,53
0.265,0,6,30
0.331,0,5,20
0.153,0,5,61
0.478,0,4,40
0.543,1,5,30
0.592,1,6,49
0.123,0,7,64
0.635,1,5,20
0.096,0,4,62
0.373,1,3,56
0.219,0,5,54
0.442,0,11,42
0.342,0,4,41
0.672,1,11,51
0.258,0,7,26
0.377,1,3,34
0.336,0,3,41
0.686,1,9,38
0.439,1,2,54
0.459,1,4,51
0.245,0,3,30
0.714,1,7,48
0.423,1,7,60
0.462,1,7,44
0.243,0,8,34
0.21,0,6,45
0.229,1,6,51
0.405,1,7,63
0.189,0,6,24
0.294,0,9,59
0.211,0,6,68
0.22,0,5,28
0.273,0,6,46
0.243,0,6,18
0.304,0,7,38
0.597,1,11,65
0.161,0,5,40
0.617,1,8,54
0.501,1,7,36
0.546,1,7,51
0.671,1,13,53
0.14,0,7,63
0.273,1,3,35
0.128,0,9,69
0.61,0,12,57
0.244,0,4,34
0.186,0,7,24
0.381,0,6,18
0.737,1,7,36
0.203,0,6,35
0.492,1,7,31
0.444,1,4,23
0.48,1,4,19
0.315,0,8,44
0.643,1,7,50
0.125,0,5,32
0.477,1,9,57
0.214,0,4,43
0.248,0,9,28
0.314,0,9,39
0.302,0,7,44
0.245,0,7,46
0.47,1,5,36
0.736,1,9,42
0.185,0,3,55
0.322,1,3,52
0.62,1,7,52
0.16,0,5,56
0.119,0,6,63
0.57,1,9,24
0.481,1,6,41
0.759,1,6,18
0.203,0,8,24
0.498,0,6,30
0.459,1,8,39
0.432,1,8,69
0.279,0,8,43
0.531,1,5,46
0.763,1,9,60
0.348,0,7,21
0.319,1,7,45
0.278,0,4,69
0.401,0,10,36
0.139,0,4,27
0.279,1,3,57
0.279,0,8,18
0.383,1,3,26
0.23,0,10,67
0.373,0,5,31
0.595,1,7,21
0.483,0,5,34
0.371,1,6,64
0.126,0,5,52
0.419,1,4,62
0.742,1,12,25
0.607,1,5,45
0.532,1,7,49
0.345,1,3,64
0.794,1,12,25
0.421,1,6,35
0.821,1,13,37
0.413,0,8,24
